Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
a,27/11/2021 14:26:35,1,0,3,Room1
u,27/11/2021 14:26:46,1,0,1,Room1
a,27/11/2021 14:27:00,0,1,3,Room1
a,27/11/2021 14:27:13,1,0,1,Room1
o,27/11/2021 14:27:24,1,0,1,Room1
i,27/11/2021 14:27:35,1,0,1,Room1
u,27/11/2021 14:27:45,1,0,1,Room1
i,27/11/2021 14:27:57,1,0,1,Room1
ka,27/11/2021 14:28:33,0,1,1,Room2
ku,27/11/2021 14:28:50,1,0,5,Room2
ka,27/11/2021 14:29:01,1,0,2,Room2
ke,27/11/2021 14:29:14,1,0,2,Room2
ki,27/11/2021 14:29:25,1,0,2,Room2
ko,27/11/2021 14:29:38,0,1,1,Room2
sa,27/11/2021 14:30:07,1,0,4,Room3
shi,27/11/2021 14:30:18,1,0,1,Room3
sa,27/11/2021 14:30:29,1,0,1,Room3
su,27/11/2021 14:30:41,1,0,2,Room3
shi,27/11/2021 14:30:52,1,0,2,Room3
sa,27/11/2021 14:31:02,1,0,1,Room3
shi,27/11/2021 14:31:13,1,0,1,Room3
chi,27/11/2021 14:32:24,1,0,2,Room4
tsu,27/11/2021 14:32:37,1,0,3,Room4
ta,27/11/2021 14:32:48,1,0,1,Room4
tsu,27/11/2021 14:32:59,1,0,1,Room4
te,27/11/2021 14:33:22,1,0,3,Room4
ta,27/11/2021 14:33:33,1,0,1,Room4
ni,27/11/2021 14:34:00,1,0,1,Room5
nu,27/11/2021 14:34:12,1,0,1,Room5
ni,27/11/2021 14:34:24,1,0,1,Room5
no,27/11/2021 14:34:35,1,0,2,Room5
nu,27/11/2021 14:34:46,1,0,2,Room5
na,27/11/2021 14:34:56,1,0,2,Room5
ni,27/11/2021 14:35:08,1,0,2,Room5
ne,27/11/2021 14:35:20,1,0,2,Room5
no,27/11/2021 14:35:31,1,0,1,Room5
nu,27/11/2021 14:35:43,1,0,2,Room5
ne,27/11/2021 14:35:54,1,0,1,Room5
ni,27/11/2021 14:36:04,1,0,1,Room5
fu,27/11/2021 14:36:38,1,0,1,Room6
he,27/11/2021 14:36:49,1,0,1,Room6
ha,27/11/2021 14:37:02,1,0,1,Room6
hi,27/11/2021 14:37:14,1,0,2,Room6
fu,27/11/2021 14:37:26,1,0,1,Room6
hi,27/11/2021 14:37:37,1,0,1,Room6
fu,27/11/2021 14:37:49,1,0,1,Room6
ha,27/11/2021 14:37:59,1,0,2,Room6
mo,27/11/2021 14:38:38,0,1,2,Room7
mo,27/11/2021 14:38:53,0,1,2,Room7
mu,27/11/2021 14:39:06,1,0,2,Room7
mo,27/11/2021 14:39:21,1,0,5,Room7
me,27/11/2021 14:39:36,1,0,4,Room7
mo,27/11/2021 14:39:48,1,0,2,Room7
mi,27/11/2021 14:40:03,1,0,6,Room7
ya,27/11/2021 14:40:36,1,0,2,Room8
yo,27/11/2021 14:40:47,1,0,1,Room8
yu,27/11/2021 14:40:58,1,0,2,Room8
ya,27/11/2021 14:41:10,1,0,1,Room8
yo,27/11/2021 14:41:22,1,0,1,Room8
ya,27/11/2021 14:41:34,1,0,1,Room8
yo,27/11/2021 14:41:45,1,0,2,Room8
yu,27/11/2021 14:41:56,1,0,1,Room8
ya,27/11/2021 14:42:08,1,0,1,Room8
yo,27/11/2021 14:42:19,1,0,1,Room8
yu,27/11/2021 14:42:31,1,0,1,Room8
ya,27/11/2021 14:42:41,1,0,1,Room8
yu,27/11/2021 14:42:51,1,0,1,Room8
ra,27/11/2021 14:43:18,0,1,2,Room9
re,27/11/2021 14:43:32,1,0,2,Room9
ri,27/11/2021 14:43:43,1,0,2,Room9
ru,27/11/2021 14:43:54,1,0,2,Room9
ra,27/11/2021 14:44:06,1,0,2,Room9
ri,27/11/2021 14:44:16,1,0,2,Room9
ra,27/11/2021 14:44:27,1,0,1,Room9
wa,27/11/2021 14:44:59,1,0,2,Room10
n,27/11/2021 14:45:10,1,0,1,Room10
wo,27/11/2021 14:45:20,1,0,1,Room10
n,27/11/2021 14:45:31,1,0,1,Room10
wo,27/11/2021 14:45:43,1,0,1,Room10
n,27/11/2021 14:45:53,1,0,1,Room10
wa,27/11/2021 14:46:05,1,0,2,Room10
n,27/11/2021 14:46:17,1,0,2,Room10
wa,27/11/2021 14:46:28,1,0,1,Room10
n,27/11/2021 14:46:39,1,0,1,Room10
wo,27/11/2021 14:46:50,1,0,1,Room10
wa,27/11/2021 14:47:00,1,0,1,Room10
i,27/11/2021 14:47:38,1,0,1,Room11
ke,27/11/2021 14:47:53,0,1,3,Room11
ki,27/11/2021 14:48:08,1,0,2,Room11
o,27/11/2021 14:48:20,0,1,2,Room11
i,27/11/2021 14:48:33,1,0,2,Room11
ka,27/11/2021 14:48:47,1,0,3,Room11
ke,27/11/2021 14:49:00,1,0,3,Room11
ko,27/11/2021 14:49:11,1,0,1,Room11
ku,27/11/2021 14:49:23,1,0,2,Room11
ko,27/11/2021 14:49:34,1,0,2,Room11
i,27/11/2021 14:49:45,1,0,3,Room11
ko,27/11/2021 14:49:56,1,0,1,Room11
ke,27/11/2021 14:50:08,1,0,2,Room11
ko,27/11/2021 14:50:18,1,0,2,Room11
ku,27/11/2021 14:50:30,1,0,2,Room11
sa,27/11/2021 14:51:03,1,0,7,Room12
