Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
su,27/11/2021 14:51:15,1,0,2,Room12
so,27/11/2021 14:51:33,1,0,8,Room12
su,27/11/2021 14:51:48,1,0,4,Room12
shi,27/11/2021 14:51:58,1,0,1,Room12
so,27/11/2021 14:52:14,1,0,7,Room12
ta,27/11/2021 14:52:27,1,0,2,Room12
tsu,27/11/2021 14:52:39,1,0,2,Room12
to,27/11/2021 14:52:51,1,0,3,Room12
sa,27/11/2021 14:53:04,1,0,3,Room12
so,27/11/2021 14:53:18,1,0,3,Room12
ni,27/11/2021 14:53:51,1,0,1,Room13
ha,27/11/2021 14:54:04,1,0,2,Room13
fu,27/11/2021 14:54:15,1,0,1,Room13
no,27/11/2021 14:54:27,1,0,1,Room13
ha,27/11/2021 14:54:38,1,0,2,Room13
ne,27/11/2021 14:54:51,1,0,3,Room13
na,27/11/2021 14:55:04,1,0,3,Room13
fu,27/11/2021 14:55:14,1,0,2,Room13
na,27/11/2021 14:55:27,1,0,2,Room13
ha,27/11/2021 14:55:40,1,0,2,Room13
fu,27/11/2021 14:55:51,1,0,1,Room13
ha,27/11/2021 14:56:02,1,0,2,Room13
nu,27/11/2021 14:56:14,1,0,2,Room13
fu,27/11/2021 14:56:24,1,0,1,Room13
ne,27/11/2021 14:56:35,1,0,2,Room13
na,27/11/2021 14:56:47,1,0,2,Room13
ma,27/11/2021 14:57:13,1,0,2,Room14
yo,27/11/2021 14:57:25,1,0,2,Room14
ya,27/11/2021 14:57:36,1,0,2,Room14
yo,27/11/2021 14:57:48,1,0,1,Room14
ma,27/11/2021 14:58:01,1,0,4,Room14
mi,27/11/2021 14:58:19,0,1,7,Room14
yo,27/11/2021 14:58:34,1,0,2,Room14
ya,27/11/2021 14:58:45,1,0,2,Room14
me,27/11/2021 14:59:02,1,0,7,Room14
yo,27/11/2021 14:59:14,1,0,2,Room14
ya,27/11/2021 14:59:26,1,0,2,Room14
mo,27/11/2021 14:59:41,1,0,4,Room14
mu,27/11/2021 14:59:52,1,0,1,Room14
me,27/11/2021 15:00:03,1,0,2,Room14
yu,27/11/2021 15:00:14,1,0,1,Room14
ra,27/11/2021 15:00:42,1,0,2,Room15
wa,27/11/2021 15:00:56,1,0,4,Room15
wo,27/11/2021 15:01:07,1,0,2,Room15
ro,27/11/2021 15:01:19,1,0,2,Room15
wa,27/11/2021 15:01:41,0,1,7,Room15
ru,27/11/2021 15:01:54,1,0,1,Room15
ri,27/11/2021 15:02:06,1,0,1,Room15
ru,27/11/2021 15:02:17,1,0,1,Room15
wa,27/11/2021 15:02:28,1,0,1,Room15

