Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
o,30/11/2021 09:32:32,1,0,1,Room1
a,30/11/2021 09:32:43,1,0,1,Room1
e,30/11/2021 09:32:52,1,0,1,Room1
i,30/11/2021 09:33:04,1,0,1,Room1
a,30/11/2021 09:33:16,1,0,2,Room1
e,30/11/2021 09:33:27,1,0,1,Room1
i,30/11/2021 09:33:38,1,0,1,Room1
u,30/11/2021 09:33:50,1,0,2,Room1
a,30/11/2021 09:34:01,1,0,1,Room1
i,30/11/2021 09:35:16,1,0,1,Room1
u,30/11/2021 09:35:26,1,0,1,Room1
e,30/11/2021 09:35:37,1,0,1,Room1
ka,30/11/2021 09:41:36,1,0,2,Room2
ki,30/11/2021 09:41:48,1,0,1,Room2
ka,30/11/2021 09:41:59,1,0,1,Room2
ko,30/11/2021 09:42:10,1,0,1,Room2
ka,30/11/2021 09:42:20,1,0,1,Room2
ku,30/11/2021 09:42:34,1,0,3,Room2
ko,30/11/2021 09:42:45,1,0,1,Room2
ka,30/11/2021 09:42:56,1,0,1,Room2
ki,30/11/2021 09:43:07,1,0,1,Room2
ko,30/11/2021 09:43:17,1,0,1,Room2
ke,30/11/2021 09:43:29,1,0,2,Room2
ki,30/11/2021 09:43:40,1,0,1,Room2
ku,30/11/2021 09:43:51,1,0,1,Room2
ka,30/11/2021 09:44:01,1,0,1,Room2
ku,30/11/2021 09:44:12,1,0,1,Room2
ki,30/11/2021 09:44:22,1,0,1,Room2
ke,30/11/2021 09:44:33,1,0,1,Room2
ko,30/11/2021 09:44:49,1,0,1,Room2
ke,30/11/2021 09:45:02,1,0,3,Room2
u,30/11/2021 09:45:23,1,0,1,Room1
a,30/11/2021 09:45:33,1,0,1,Room1
o,30/11/2021 09:45:44,1,0,1,Room1
i,30/11/2021 09:46:00,1,0,1,Room1
a,30/11/2021 09:46:11,1,0,1,Room1
e,30/11/2021 09:46:21,1,0,1,Room1
i,30/11/2021 09:46:32,1,0,2,Room1
u,30/11/2021 09:46:42,1,0,1,Room1
e,30/11/2021 09:46:53,1,0,1,Room1
u,30/11/2021 09:47:04,1,0,1,Room1
o,30/11/2021 09:47:14,1,0,1,Room1
