Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
e,11/27/2021 9:04:59 PM,1,0,2,Room1
a,11/27/2021 9:05:09 PM,1,0,1,Room1
o,11/27/2021 9:05:23 PM,1,0,3,Room1
a,11/27/2021 9:05:35 PM,1,0,2,Room1
i,11/27/2021 9:05:49 PM,0,1,1,Room1
u,11/27/2021 9:06:02 PM,1,0,1,Room1
e,11/27/2021 9:06:15 PM,1,0,2,Room1
u,11/27/2021 9:06:26 PM,1,0,1,Room1
i,11/27/2021 9:06:36 PM,1,0,1,Room1
ke,11/27/2021 9:07:12 PM,1,0,2,Room2
ka,11/27/2021 9:07:24 PM,1,0,1,Room2
ke,11/27/2021 9:07:34 PM,1,0,1,Room2
ku,11/27/2021 9:07:45 PM,1,0,1,Room2
ko,11/27/2021 9:07:55 PM,1,0,1,Room2
ki,11/27/2021 9:08:06 PM,1,0,1,Room2
ka,11/27/2021 9:08:19 PM,1,0,1,Room2
ko,11/27/2021 9:08:29 PM,1,0,1,Room2
ka,11/27/2021 9:08:40 PM,1,0,1,Room2
ko,11/27/2021 9:08:50 PM,1,0,1,Room2
ku,11/27/2021 9:09:01 PM,1,0,1,Room2
ka,11/27/2021 9:09:13 PM,1,0,1,Room2
ko,11/27/2021 9:09:22 PM,1,0,1,Room2
ku,11/27/2021 9:09:32 PM,1,0,1,Room2
ke,11/27/2021 9:09:42 PM,1,0,1,Room2
ki,11/27/2021 9:09:52 PM,1,0,1,Room2
ko,11/27/2021 9:10:03 PM,1,0,2,Room2
ke,11/27/2021 9:10:14 PM,1,0,1,Room2
ki,11/27/2021 9:10:24 PM,1,0,0,Room2
ka,11/27/2021 9:10:34 PM,1,0,1,Room2
na,11/27/2021 9:11:03 PM,1,0,1,Room5
ni,11/27/2021 9:11:13 PM,1,0,1,Room5
nu,11/27/2021 9:11:25 PM,1,0,1,Room5
na,11/27/2021 9:11:36 PM,1,0,1,Room5
ni,11/27/2021 9:11:47 PM,1,0,1,Room5
nu,11/27/2021 9:11:56 PM,1,0,1,Room5
na,11/27/2021 9:12:07 PM,1,0,1,Room5
no,11/27/2021 9:12:20 PM,1,0,2,Room5
ne,11/27/2021 9:12:30 PM,1,0,1,Room5
nu,11/27/2021 9:12:42 PM,1,0,2,Room5
ne,11/27/2021 9:12:54 PM,1,0,1,Room5
nu,11/27/2021 9:13:04 PM,1,0,1,Room5
no,11/27/2021 9:13:14 PM,1,0,1,Room5
na,11/27/2021 9:13:24 PM,1,0,2,Room5
tsu,11/27/2021 9:13:55 PM,1,0,2,Room4
te,11/27/2021 9:14:06 PM,1,0,1,Room4
chi,11/27/2021 9:14:18 PM,1,0,1,Room4
ta,11/27/2021 9:14:29 PM,1,0,2,Room4
chi,11/27/2021 9:14:44 PM,1,0,1,Room4
to,11/27/2021 9:15:19 PM,1,0,2,Room4
chi,11/27/2021 9:15:33 PM,1,0,4,Room4
tsu,11/27/2021 9:15:44 PM,1,0,1,Room4
su,11/27/2021 9:16:19 PM,1,0,2,Room3
se,11/27/2021 9:16:31 PM,1,0,1,Room3
sa,11/27/2021 9:16:44 PM,1,0,2,Room3
shi,11/27/2021 9:20:56 PM,1,0,1,Room3
sa,11/27/2021 9:21:07 PM,1,0,1,Room3
su,11/27/2021 9:21:18 PM,1,0,2,Room3
ha,11/27/2021 9:22:02 PM,1,0,2,Room6
he,11/27/2021 9:22:14 PM,1,0,2,Room6
ho,11/27/2021 9:22:28 PM,1,0,3,Room6
ha,11/27/2021 9:22:38 PM,1,0,1,Room6
fu,11/27/2021 9:22:48 PM,1,0,1,Room6
hi,11/27/2021 9:23:01 PM,1,0,2,Room6
ho,11/27/2021 9:23:12 PM,1,0,1,Room6
hi,11/27/2021 9:23:25 PM,0,1,1,Room6
he,11/27/2021 9:23:37 PM,1,0,1,Room6
ha,11/27/2021 9:23:48 PM,1,0,2,Room6
ho,11/27/2021 9:23:58 PM,1,0,1,Room6
he,11/27/2021 9:24:10 PM,1,0,2,Room6
ho,11/27/2021 9:24:20 PM,1,0,1,Room6
ha,11/27/2021 9:24:31 PM,1,0,2,Room6
mo,11/27/2021 9:25:28 PM,1,0,2,Room7
mu,11/27/2021 9:25:39 PM,1,0,1,Room7
mi,11/27/2021 9:25:52 PM,1,0,2,Room7
me,11/27/2021 9:26:02 PM,1,0,1,Room7
mo,11/27/2021 9:26:13 PM,1,0,1,Room7
