Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
i,28/11/2021 17:16:58,1,0,1,Room1
e,28/11/2021 17:17:08,1,0,1,Room1
o,28/11/2021 17:17:21,1,0,2,Room1
a,28/11/2021 17:17:34,1,0,3,Room1
o,28/11/2021 17:17:46,1,0,2,Room1
a,28/11/2021 17:17:58,1,0,2,Room1
ke,28/11/2021 17:18:32,1,0,3,Room2
ko,28/11/2021 17:18:47,0,1,3,Room2
ka,28/11/2021 17:19:00,1,0,1,Room2
ku,28/11/2021 17:19:14,1,0,3,Room2
ko,28/11/2021 17:19:26,1,0,3,Room2
ka,28/11/2021 17:19:36,1,0,1,Room2
ke,28/11/2021 17:19:48,1,0,1,Room2
ko,28/11/2021 17:19:59,1,0,1,Room2
ka,28/11/2021 17:20:11,1,0,1,Room2
ke,28/11/2021 17:20:21,1,0,1,Room2
ku,28/11/2021 17:20:35,1,0,4,Room2
ki,28/11/2021 17:20:46,1,0,1,Room2
ku,28/11/2021 17:20:59,1,0,3,Room2
ki,28/11/2021 17:21:10,1,0,1,Room2
sa,28/11/2021 17:22:31,1,0,1,Room3
so,28/11/2021 17:22:44,1,0,2,Room3
se,28/11/2021 17:22:53,1,0,1,Room3
so,28/11/2021 17:23:04,1,0,1,Room3
se,28/11/2021 17:23:16,1,0,1,Room3
so,28/11/2021 17:23:26,1,0,1,Room3
shi,28/11/2021 17:23:37,1,0,1,Room3
to,28/11/2021 17:24:21,0,1,2,Room4
te,28/11/2021 17:24:35,1,0,2,Room4
ta,28/11/2021 17:24:48,1,0,2,Room4
tsu,28/11/2021 17:24:58,1,0,1,Room4
te,28/11/2021 17:25:09,1,0,2,Room4
tsu,28/11/2021 17:25:21,1,0,2,Room4
nu,28/11/2021 17:25:52,1,0,2,Room5
no,28/11/2021 17:26:04,1,0,3,Room5
na,28/11/2021 17:26:18,1,0,3,Room5
no,28/11/2021 17:26:28,1,0,1,Room5
ne,28/11/2021 17:26:43,0,1,4,Room5
ni,28/11/2021 17:26:56,1,0,1,Room5
nu,28/11/2021 17:27:06,1,0,1,Room5
ni,28/11/2021 17:27:17,1,0,1,Room5
ne,28/11/2021 17:27:27,1,0,1,Room5
no,28/11/2021 17:27:38,1,0,1,Room5
na,28/11/2021 17:27:53,0,1,4,Room5
ne,28/11/2021 17:28:07,0,1,1,Room5
ne,28/11/2021 17:28:21,1,0,2,Room5
he,28/11/2021 17:28:58,1,0,2,Room6
ho,28/11/2021 17:29:12,1,0,2,Room6
he,28/11/2021 17:29:22,1,0,1,Room6
ho,28/11/2021 17:29:32,1,0,1,Room6
fu,28/11/2021 17:29:44,1,0,1,Room6
hi,28/11/2021 17:29:54,1,0,1,Room6
ha,28/11/2021 17:30:07,1,0,2,Room6
fu,28/11/2021 17:30:17,1,0,1,Room6
ha,28/11/2021 17:30:29,1,0,2,Room6
he,28/11/2021 17:30:41,1,0,1,Room6
ho,28/11/2021 17:30:58,1,0,1,Room6
me,28/11/2021 17:31:35,0,1,1,Room7
ma,28/11/2021 17:31:49,1,0,1,Room7
mu,28/11/2021 17:32:02,1,0,3,Room7
me,28/11/2021 17:32:16,1,0,4,Room7
mi,28/11/2021 17:32:26,1,0,2,Room7
mo,28/11/2021 17:32:38,1,0,2,Room7
