Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
mu,28/11/2021 17:32:50,1,0,3,Room7
yo,28/11/2021 17:33:31,1,0,2,Room8
yu,28/11/2021 17:33:41,1,0,1,Room8
ya,28/11/2021 17:33:56,1,0,5,Room8
yu,28/11/2021 17:34:07,1,0,1,Room8
ya,28/11/2021 17:34:19,1,0,1,Room8
yu,28/11/2021 17:34:30,1,0,1,Room8
yo,28/11/2021 17:34:41,1,0,2,Room8
yu,28/11/2021 17:34:52,1,0,1,Room8
ya,28/11/2021 17:35:01,1,0,1,Room8
ru,28/11/2021 17:35:40,1,0,1,Room9
re,28/11/2021 17:36:00,1,0,9,Room9
ro,28/11/2021 17:36:13,0,1,1,Room9
ra,28/11/2021 17:36:27,1,0,2,Room9
re,28/11/2021 17:36:39,1,0,1,Room9
ri,28/11/2021 17:36:49,1,0,1,Room9
ru,28/11/2021 17:37:00,1,0,1,Room9
wo,28/11/2021 17:38:01,1,0,1,Room10
n,28/11/2021 17:38:11,1,0,1,Room10
wo,28/11/2021 17:38:25,0,1,2,Room10
wo,28/11/2021 17:38:37,1,0,1,Room10
n,28/11/2021 17:38:47,1,0,1,Room10
wa,28/11/2021 17:38:59,1,0,2,Room10
wo,28/11/2021 17:39:10,1,0,1,Room10
n,28/11/2021 17:39:21,1,0,1,Room10
wa,28/11/2021 17:39:31,1,0,1,Room10
wo,28/11/2021 17:39:41,1,0,1,Room10
wa,28/11/2021 17:39:52,1,0,1,Room10
ke,28/11/2021 17:40:50,1,0,4,Room11
ka,28/11/2021 17:41:06,1,0,6,Room11
o,28/11/2021 17:41:22,0,1,4,Room11
ku,28/11/2021 17:41:36,1,0,2,Room11
ka,28/11/2021 17:41:47,1,0,1,Room11
i,28/11/2021 17:41:58,1,0,1,Room11
e,28/11/2021 17:42:13,1,0,5,Room11
ku,28/11/2021 17:42:24,1,0,1,Room11
o,28/11/2021 17:42:41,0,1,5,Room11
o,28/11/2021 17:42:54,1,0,1,Room11
u,28/11/2021 17:43:06,1,0,1,Room11
a,28/11/2021 17:43:23,0,1,4,Room11
e,28/11/2021 17:43:37,1,0,2,Room11
ki,28/11/2021 17:43:49,1,0,2,Room11
ko,28/11/2021 17:44:03,0,1,2,Room11
a,28/11/2021 17:44:15,1,0,1,Room11
e,28/11/2021 17:44:26,1,0,1,Room11
o,28/11/2021 17:44:38,1,0,3,Room11
ka,28/11/2021 17:44:49,1,0,2,Room11
u,28/11/2021 17:45:04,1,0,6,Room11
ke,28/11/2021 17:45:14,1,0,1,Room11
e,28/11/2021 17:45:27,1,0,2,Room11
ka,28/11/2021 17:45:37,1,0,2,Room11
e,28/11/2021 17:45:48,1,0,1,Room11
te,28/11/2021 17:46:41,1,0,4,Room12
ta,28/11/2021 17:46:50,1,0,1,Room12
su,28/11/2021 17:47:02,1,0,1,Room12
so,28/11/2021 17:47:14,1,0,2,Room12
ta,28/11/2021 17:47:24,1,0,1,Room12
to,28/11/2021 17:47:44,1,0,11,Room12
chi,28/11/2021 17:47:59,0,1,3,Room12
se,28/11/2021 17:48:14,1,0,4,Room12
so,28/11/2021 17:48:24,1,0,1,Room12
su,28/11/2021 17:48:34,1,0,1,Room12
tsu,28/11/2021 17:48:48,1,0,4,Room12
ta,28/11/2021 17:48:58,1,0,1,Room12
chi,28/11/2021 17:49:09,1,0,1,Room12
ho,28/11/2021 17:49:51,1,0,4,Room13
he,28/11/2021 17:50:00,1,0,1,Room13
nu,28/11/2021 17:50:12,1,0,3,Room13
ni,28/11/2021 17:50:24,1,0,2,Room13
ho,28/11/2021 17:50:35,1,0,1,Room13
hi,28/11/2021 17:50:47,1,0,1,Room13
na,28/11/2021 17:51:00,1,0,3,Room13
ne,28/11/2021 17:51:14,1,0,4,Room13
fu,28/11/2021 17:51:25,1,0,1,Room13
nu,28/11/2021 17:51:36,1,0,2,Room13
ho,28/11/2021 17:51:48,0,1,1,Room13
na,28/11/2021 17:52:05,1,0,4,Room13
ho,28/11/2021 17:52:16,1,0,1,Room13
ni,28/11/2021 17:52:28,1,0,1,Room13
ma,28/11/2021 17:53:14,1,0,2,Room14
mi,28/11/2021 17:53:24,1,0,1,Room14
mo,28/11/2021 17:53:36,1,0,2,Room14
yo,28/11/2021 17:53:47,1,0,2,Room14
mo,28/11/2021 17:53:59,1,0,2,Room14
yu,28/11/2021 17:54:10,1,0,1,Room14
mi,28/11/2021 17:54:21,1,0,1,Room14
ya,28/11/2021 17:54:35,1,0,4,Room14
ma,28/11/2021 17:54:47,1,0,1,Room14
mu,28/11/2021 17:54:59,1,0,2,Room14
ma,28/11/2021 17:55:09,1,0,1,Room14
ya,28/11/2021 17:55:21,1,0,2,Room14
mi,28/11/2021 17:55:34,1,0,2,Room14
yo,28/11/2021 17:55:46,1,0,1,Room14
mo,28/11/2021 17:56:12,1,0,5,Room14
mi,28/11/2021 17:56:22,1,0,1,Room14
me,28/11/2021 17:56:39,1,0,8,Room14
yo,28/11/2021 17:56:49,1,0,1,Room14
ya,28/11/2021 17:56:59,1,0,1,Room14
re,28/11/2021 17:57:45,1,0,2,Room15
wo,28/11/2021 17:58:02,0,1,4,Room15
ro,28/11/2021 17:58:18,1,0,4,Room15
re,28/11/2021 17:58:28,1,0,1,Room15
wo,28/11/2021 17:58:39,1,0,1,Room15
ru,28/11/2021 17:58:51,1,0,3,Room15
re,28/11/2021 17:59:04,1,0,2,Room15
ro,28/11/2021 17:59:17,1,0,4,Room15
ra,28/11/2021 17:59:28,1,0,2,Room15
wo,28/11/2021 17:59:38,1,0,2,Room15
ra,28/11/2021 17:59:50,1,0,2,Room15
wa,28/11/2021 18:00:06,1,0,7,Room15
n,28/11/2021 18:00:17,1,0,2,Room15
re,28/11/2021 18:00:29,1,0,3,Room15
ru,28/11/2021 18:00:40,1,0,2,Room15
ro,28/11/2021 18:00:56,0,1,4,Room15
n,28/11/2021 18:01:07,1,0,1,Room15
ru,28/11/2021 18:01:17,1,0,1,Room15
re,28/11/2021 18:01:29,1,0,1,Room15
ro,28/11/2021 18:01:41,1,0,2,Room15
ra,28/11/2021 18:01:52,1,0,2,Room15
wo,28/11/2021 18:02:03,1,0,2,Room15
wa,28/11/2021 18:02:15,0,1,1,Room15
wa,28/11/2021 18:02:31,0,1,1,Room15
ra,28/11/2021 18:02:44,1,0,1,Room15
n,28/11/2021 18:02:55,1,0,1,Room15

