Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
nu,29.11.2021 01.47.12,1,0,4,Room5
ni,29.11.2021 01.47.26,1,0,2,Room5
u,29.11.2021 01.48.43,0,1,2,Room1
u,29.11.2021 01.48.58,1,0,2,Room1
o,29.11.2021 01.49.13,0,1,2,Room1
o,29.11.2021 01.49.30,1,0,4,Room1
i,29.11.2021 01.49.46,0,1,3,Room1
u,29.11.2021 01.50.08,1,0,5,Room1
a,29.11.2021 01.51.35,0,1,1,Room1
a,29.11.2021 01.51.50,1,0,2,Room1
e,29.11.2021 01.52.05,0,1,3,Room1
u,29.11.2021 01.52.23,0,1,4,Room1
e,29.11.2021 01.52.47,0,1,2,Room1
ki,29.11.2021 01.54.20,0,1,2,Room2
ku,29.11.2021 01.54.35,0,1,1,Room2
ku,29.11.2021 01.54.48,1,0,2,Room2
ko,29.11.2021 01.55.51,0,1,4,Room2
ki,29.11.2021 01.56.07,1,0,2,Room2
ke,29.11.2021 01.56.31,0,1,2,Room2
ku,29.11.2021 01.56.48,1,0,3,Room2
ki,29.11.2021 01.56.59,1,0,2,Room2
ku,29.11.2021 01.57.13,1,0,3,Room2
ka,29.11.2021 01.57.28,1,0,2,Room2
ko,29.11.2021 01.57.42,1,0,3,Room2
ku,29.11.2021 01.57.53,1,0,2,Room2
so,29.11.2021 19.25.09,0,1,2,Room3
shi,29.11.2021 19.25.23,1,0,1,Room3
sa,29.11.2021 19.25.37,0,1,2,Room3
sa,29.11.2021 19.25.52,1,0,2,Room3
se,29.11.2021 19.26.07,1,0,4,Room3
sa,29.11.2021 19.26.25,0,1,3,Room3
su,29.11.2021 19.26.45,0,1,4,Room3
chi,29.11.2021 19.27.32,0,1,1,Room4
tsu,29.11.2021 19.27.49,1,0,4,Room4
chi,29.11.2021 19.28.05,1,0,5,Room4
te,29.11.2021 19.28.19,0,1,2,Room4
te,29.11.2021 19.28.35,0,1,2,Room4
tsu,29.11.2021 19.28.51,1,0,3,Room4
ta,29.11.2021 19.29.06,1,0,5,Room4
ni,29.11.2021 19.30.05,1,0,2,Room5
no,29.11.2021 19.30.28,0,1,1,Room5
ne,29.11.2021 19.30.46,0,1,3,Room5
ne,29.11.2021 19.31.03,0,1,3,Room5
ne,29.11.2021 19.31.21,1,0,5,Room5
no,29.11.2021 19.31.34,0,1,2,Room5
no,29.11.2021 19.31.50,1,0,3,Room5
nu,29.11.2021 19.32.03,1,0,3,Room5
