Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
no,29.11.2021 19.32.18,1,0,3,Room5
ni,29.11.2021 19.32.30,1,0,1,Room5
nu,29.11.2021 19.32.46,0,1,3,Room5
ha,29.11.2021 19.33.40,1,0,2,Room6
fu,29.11.2021 19.33.52,1,0,2,Room6
ha,29.11.2021 19.34.03,1,0,2,Room6
fu,29.11.2021 19.34.14,1,0,2,Room6
ha,29.11.2021 19.34.27,1,0,3,Room6
fu,29.11.2021 19.34.38,1,0,2,Room6
he,29.11.2021 19.34.51,1,0,2,Room6
hi,29.11.2021 19.35.06,0,1,3,Room6
ha,29.11.2021 19.35.21,1,0,3,Room6
he,29.11.2021 19.35.33,1,0,1,Room6
ho,29.11.2021 19.35.47,0,1,2,Room6
mu,30.11.2021 00.51.03,1,0,1,Room7
ma,30.11.2021 00.51.15,1,0,2,Room7
mu,30.11.2021 00.51.27,1,0,2,Room7
ma,30.11.2021 00.51.38,1,0,2,Room7
mo,30.11.2021 00.51.52,0,1,1,Room7
mi,30.11.2021 00.52.10,1,0,6,Room7
ma,30.11.2021 00.52.22,1,0,1,Room7
mu,30.11.2021 00.52.33,1,0,2,Room7
ma,30.11.2021 00.52.44,1,0,1,Room7
me,30.11.2021 00.52.57,0,1,2,Room7
yu,30.11.2021 00.53.41,0,1,1,Room8
ya,30.11.2021 00.53.56,1,0,2,Room8
yu,30.11.2021 00.54.10,1,0,4,Room8
yo,30.11.2021 00.54.23,1,0,3,Room8
ya,30.11.2021 00.54.35,1,0,1,Room8
yo,30.11.2021 00.54.47,0,1,2,Room8
yo,30.11.2021 00.55.04,0,1,3,Room8
yo,30.11.2021 00.55.18,1,0,2,Room8
ya,30.11.2021 00.55.29,1,0,1,Room8
yu,30.11.2021 00.55.42,0,1,1,Room8
yu,30.11.2021 00.55.57,1,0,1,Room8
ya,30.11.2021 00.56.07,1,0,2,Room8
yo,30.11.2021 00.56.19,1,0,2,Room8
yu,30.11.2021 00.56.32,1,0,3,Room8
ya,30.11.2021 00.56.44,1,0,2,Room8
ru,30.11.2021 00.57.29,1,0,5,Room9
re,30.11.2021 00.57.47,1,0,7,Room9
ro,30.11.2021 00.58.03,0,1,5,Room9
ru,30.11.2021 00.58.19,1,0,3,Room9
ri,30.11.2021 00.58.29,1,0,1,Room9
ro,30.11.2021 00.58.43,1,0,3,Room9
wa,30.11.2021 00.59.42,0,1,5,Room10
n,30.11.2021 00.59.54,1,0,1,Room10
wa,30.11.2021 01.00.05,1,0,1,Room10
n,30.11.2021 01.00.16,1,0,1,Room10
wo,30.11.2021 01.00.31,1,0,4,Room10
wa,30.11.2021 01.00.47,0,1,4,Room10
n,30.11.2021 01.01.00,1,0,1,Room10
wa,30.11.2021 01.01.12,1,0,4,Room10
wo,30.11.2021 01.01.24,1,0,2,Room10
wa,30.11.2021 01.01.37,1,0,2,Room10
n,30.11.2021 01.01.47,1,0,1,Room10
wa,30.11.2021 01.02.00,1,0,3,Room10
n,30.11.2021 01.02.12,1,0,1,Room10
wa,30.11.2021 01.02.22,1,0,1,Room10
n,30.11.2021 01.02.35,1,0,1,Room10
ra,30.11.2021 01.04.11,1,0,2,Room15
n,30.11.2021 01.04.22,1,0,1,Room15
wo,30.11.2021 01.04.36,1,0,3,Room15
ri,30.11.2021 01.04.47,1,0,1,Room15
n,30.11.2021 01.04.59,1,0,1,Room15
ro,30.11.2021 01.05.11,1,0,2,Room15
re,30.11.2021 01.05.22,1,0,2,Room15
n,30.11.2021 01.05.35,1,0,1,Room15
re,30.11.2021 01.05.45,1,0,2,Room15
ra,30.11.2021 01.05.58,1,0,2,Room15
ri,30.11.2021 01.06.12,1,0,4,Room15
wo,30.11.2021 01.06.24,1,0,1,Room15
wa,30.11.2021 01.06.38,0,1,2,Room15
wa,30.11.2021 01.06.57,0,1,2,Room15
ma,30.11.2021 01.07.58,1,0,2,Room14
yu,30.11.2021 01.08.10,1,0,1,Room14
mo,30.11.2021 01.08.24,1,0,4,Room14
ma,30.11.2021 01.08.36,1,0,1,Room14
ya,30.11.2021 01.08.51,0,1,2,Room14
mi,30.11.2021 01.09.10,0,1,4,Room14
me,30.11.2021 01.09.30,0,1,4,Room14
hi,30.11.2021 01.10.24,0,1,4,Room13
ni,30.11.2021 01.10.42,0,1,3,Room13
hi,30.11.2021 01.11.01,1,0,7,Room13
he,30.11.2021 01.11.12,1,0,1,Room13
ho,30.11.2021 01.11.27,0,1,4,Room13
no,30.11.2021 01.11.44,0,1,4,Room13
nu,30.11.2021 01.11.59,1,0,3,Room13
hi,30.11.2021 01.12.11,1,0,2,Room13
ne,30.11.2021 01.12.27,0,1,3,Room13
fu,30.11.2021 01.12.42,1,0,3,Room13
ho,30.11.2021 01.12.53,1,0,2,Room13
ni,30.11.2021 01.13.05,1,0,2,Room13
no,30.11.2021 01.13.18,1,0,3,Room13
ho,30.11.2021 01.13.32,0,1,1,Room13
chi,30.11.2021 01.14.17,1,0,1,Room12
to,30.11.2021 01.14.51,0,1,5,Room12
sa,30.11.2021 01.15.05,1,0,2,Room12
to,30.11.2021 01.15.21,1,0,7,Room12
sa,30.11.2021 01.15.36,0,1,3,Room12
su,30.11.2021 01.15.52,0,1,2,Room12
te,30.11.2021 01.16.12,1,0,4,Room12
to,30.11.2021 01.16.42,0,1,4,Room12
se,30.11.2021 01.16.57,1,0,1,Room12
sa,30.11.2021 01.17.10,1,0,2,Room12
to,30.11.2021 01.17.23,1,0,3,Room12
su,30.11.2021 01.17.39,0,1,4,Room12
o,30.11.2021 01.18.32,0,1,1,Room11
i,30.11.2021 01.18.45,1,0,1,Room11
ke,30.11.2021 01.19.02,1,0,3,Room11
i,30.11.2021 01.19.15,1,0,1,Room11
o,30.11.2021 01.19.27,0,1,1,Room11
u,30.11.2021 01.19.44,0,1,2,Room11
u,30.11.2021 01.19.58,1,0,2,Room11
e,30.11.2021 01.20.12,1,0,5,Room11
ku,30.11.2021 01.20.25,1,0,3,Room11
o,30.11.2021 01.20.39,0,1,3,Room11
ka,30.11.2021 01.21.00,0,1,3,Room11
u,30.11.2021 01.21.14,1,0,2,Room11
ka,30.11.2021 01.21.30,0,1,5,Room11
ke,30.11.2021 01.21.45,1,0,3,Room11

