Response Sound,Response Date,Correct Response,Incorrect Response,Response Time,Room Encounterd In
na,11/27/2021 2:16:57 PM,1,0,6,Room5
ni,11/27/2021 2:17:11 PM,0,1,2,Room5
ni,11/27/2021 2:17:24 PM,1,0,2,Room5
nu,11/27/2021 2:17:36 PM,1,0,2,Room5
no,11/27/2021 2:17:46 PM,1,0,1,Room5
na,11/27/2021 2:17:57 PM,1,0,1,Room5
ne,11/27/2021 2:18:11 PM,1,0,5,Room5
na,11/27/2021 2:18:21 PM,1,0,1,Room5
ne,11/27/2021 2:18:32 PM,1,0,1,Room5
na,11/27/2021 2:18:45 PM,1,0,1,Room5
no,11/27/2021 2:19:19 PM,1,0,1,Room5
ni,11/27/2021 2:19:51 PM,1,0,22,Room5
nu,11/27/2021 2:20:04 PM,1,0,3,Room5
ni,11/27/2021 2:20:15 PM,1,0,1,Room5
nu,11/27/2021 2:20:26 PM,1,0,1,Room5
o,11/27/2021 2:21:01 PM,1,0,4,Room1
u,11/27/2021 2:21:13 PM,1,0,2,Room1
a,11/27/2021 2:21:26 PM,1,0,3,Room1
o,11/27/2021 2:21:37 PM,1,0,1,Room1
a,11/27/2021 2:21:48 PM,1,0,1,Room1
o,11/27/2021 2:21:58 PM,1,0,1,Room1
i,11/27/2021 2:22:13 PM,1,0,6,Room1
e,11/27/2021 2:22:34 PM,1,0,12,Room1
o,11/27/2021 2:22:45 PM,1,0,2,Room1
ke,11/27/2021 2:25:46 PM,1,0,9,Room2
ka,11/27/2021 2:25:57 PM,1,0,2,Room2
ku,11/27/2021 2:26:13 PM,0,1,3,Room2
ke,11/27/2021 2:26:28 PM,0,1,1,Room2
ke,11/27/2021 2:26:41 PM,1,0,1,Room2
ku,11/27/2021 2:27:02 PM,1,0,8,Room2
ki,11/27/2021 2:27:22 PM,1,0,10,Room2
ke,11/27/2021 2:28:16 PM,1,0,2,Room2
ki,11/27/2021 2:28:29 PM,0,1,1,Room2
ki,11/27/2021 2:28:42 PM,1,0,1,Room2
ke,11/27/2021 2:28:53 PM,1,0,2,Room2
ki,11/27/2021 2:29:04 PM,1,0,1,Room2
ka,11/27/2021 2:29:16 PM,1,0,3,Room2
ko,11/27/2021 2:29:34 PM,0,1,3,Room2
su,11/27/2021 2:32:32 PM,0,1,9,Room3
se,11/27/2021 2:32:49 PM,0,1,4,Room3
sa,11/27/2021 2:33:11 PM,1,0,3,Room3
se,11/27/2021 2:33:25 PM,1,0,2,Room3
sa,11/27/2021 2:33:37 PM,1,0,1,Room3
se,11/27/2021 2:33:49 PM,1,0,1,Room3
su,11/27/2021 2:33:59 PM,1,0,1,Room3
to,11/27/2021 2:35:51 PM,1,0,3,Room4
tsu,11/27/2021 2:36:02 PM,1,0,2,Room4
to,11/27/2021 2:36:13 PM,1,0,1,Room4
chi,11/27/2021 2:36:28 PM,0,1,3,Room4
ta,11/27/2021 2:36:43 PM,1,0,2,Room4
to,11/27/2021 2:36:56 PM,1,0,3,Room4
chi,11/27/2021 2:37:07 PM,1,0,1,Room4
to,11/27/2021 2:37:17 PM,1,0,1,Room4
tsu,11/27/2021 2:37:28 PM,1,0,2,Room4
he,11/27/2021 2:48:03 PM,1,0,3,Room6
fu,11/27/2021 2:48:14 PM,1,0,2,Room6
ha,11/27/2021 2:48:25 PM,1,0,2,Room6
ho,11/27/2021 2:50:00 PM,1,0,25,Room6
hi,11/27/2021 2:50:12 PM,1,0,1,Room6
he,11/27/2021 2:50:25 PM,1,0,2,Room6
ha,11/27/2021 2:50:39 PM,1,0,2,Room6
he,11/27/2021 2:50:50 PM,1,0,1,Room6
fu,11/27/2021 2:51:02 PM,1,0,1,Room6
ho,11/27/2021 2:51:21 PM,1,0,1,Room6
ha,11/27/2021 2:51:32 PM,1,0,2,Room6
he,11/27/2021 2:51:42 PM,1,0,1,Room6
fu,11/27/2021 2:51:52 PM,1,0,1,Room6
hi,11/27/2021 2:52:02 PM,1,0,1,Room6
mo,11/27/2021 2:55:25 PM,1,0,1,Room7
mi,11/27/2021 2:55:39 PM,1,0,4,Room7
ma,11/27/2021 2:55:57 PM,1,0,9,Room7
mi,11/27/2021 2:56:12 PM,1,0,5,Room7
me,11/27/2021 2:56:24 PM,1,0,2,Room7
ma,11/27/2021 2:56:37 PM,1,0,3,Room7
mu,11/27/2021 2:56:48 PM,1,0,2,Room7
mo,11/27/2021 2:57:02 PM,1,0,4,Room7
mu,11/27/2021 2:57:17 PM,1,0,1,Room7
ya,11/27/2021 2:58:12 PM,1,0,3,Room8
yu,11/27/2021 2:58:22 PM,1,0,1,Room8
ya,11/27/2021 2:58:35 PM,1,0,3,Room8
yu,11/27/2021 2:58:46 PM,1,0,1,Room8
ya,11/27/2021 2:58:58 PM,1,0,3,Room8
yo,11/27/2021 2:59:08 PM,1,0,1,Room8
ya,11/27/2021 2:59:21 PM,1,0,3,Room8
yu,11/27/2021 2:59:31 PM,1,0,1,Room8
ya,11/27/2021 2:59:42 PM,1,0,1,Room8
yo,11/27/2021 2:59:53 PM,1,0,2,Room8
yu,11/27/2021 3:00:04 PM,1,0,1,Room8
